shots,method,episodes,info_gain_mean,final_mse_mean,pearson_info_gain_vs_mse,spearman_info_gain_vs_mse
32,symqnet,12500,4.436752752227783,0.07184803008906543,-0.06067748779359711,-0.12411123774044291
64,symqnet,12500,5.463850264892578,0.07249746302794666,-0.03548461973129726,-0.10054683866807905
128,symqnet,12500,6.520289242782593,0.07359934300553053,0.018755075701754973,-0.05576242522965016
256,symqnet,12500,7.791942794723511,0.07493322612840682,0.025135349022841636,-0.04825032390197696
512,symqnet,12500,9.29566932006836,0.07674740508096292,0.0689272882143862,0.006101281487459653
