method,shots,eval_seed,train_seed,checkpoint_path,checkpoint_config_hash,checkpoint_selection_metric,best_validation_mse,validation_task_bank_path,config_hash,device,hardware,train_wallclock_sec,reward_mode,behavior_clone_checkpoint,task_bank_path,policy_params,episodes,mse_mean,mse_mean_ci95_lo,mse_mean_ci95_hi,mse_median,mse_iqr,info_gain_mean,decision_ms_mean,decision_ms_p95,smc_update_ms_mean,smc_update_ms_p95,step_total_ms_mean,step_total_ms_p95,crlb_theta_mse_mean,mse_crlb_ratio_mean,per_seed_mse_mean
fixed_optimized,32,777 778 779 780 781,,,,,,,1fb079f40b16,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""n_actions"": 75, ""name"": ""fixed_optimized"", ""non_adaptive"": true, ""objective"": ""prior_center_fisher_logdet"", ""ridge"": 0.0001}",2500.0,0.03757048304732889,0.03655351605428383,0.038641042286849114,0.03061178419739008,0.031231521163135767,17.204378637695314,0.013575968653377561,0.0013341237907297909,37.25482120953966,38.081011708651204,37.6586073223592,38.481170515553096,,,777:0.037513134;778:0.038639139;779:0.036127522;780:0.03776304;781:0.03780958
fixed_optimized,64,777 778 779 780 781,,,,,,,817dafd35576,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""n_actions"": 75, ""name"": ""fixed_optimized"", ""non_adaptive"": true, ""objective"": ""prior_center_fisher_logdet"", ""ridge"": 0.0001}",2500.0,0.03317942762351595,0.03221764008918894,0.03409968196912319,0.026338405907154083,0.03007123270072043,19.417588149261476,0.016348916085229977,0.0037523219361901283,41.4073814447219,42.513543996249794,41.977955473827514,43.07983464767458,,,777:0.032980074;778:0.032188039;779:0.032485195;780:0.032311336;781:0.035932494
fixed_optimized,128,777 778 779 780 781,,,,,,,49229520c458,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""n_actions"": 75, ""name"": ""fixed_optimized"", ""non_adaptive"": true, ""objective"": ""prior_center_fisher_logdet"", ""ridge"": 0.0001}",2500.0,0.030859743674611674,0.029805185477997875,0.031860601065410304,0.023586870171129704,0.030401351861655712,22.53620756416321,0.01650867586851948,0.0037647961755283175,41.639639613095724,42.89108904614113,42.209989402576404,43.45714508543024,,,777:0.031339393;778:0.031178644;779:0.03069116;780:0.029232788;781:0.031856735
fixed_optimized,256,777 778 779 780 781,,,,,,,d4cf56358223,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""n_actions"": 75, ""name"": ""fixed_optimized"", ""non_adaptive"": true, ""objective"": ""prior_center_fisher_logdet"", ""ridge"": 0.0001}",2500.0,0.026365697096800433,0.025399837588180672,0.027323740360264782,0.01875302568078041,0.0272553488612175,26.743341206741334,0.016323615817560092,0.0035964187234640123,41.84705826745809,42.93654096567771,42.414352759990535,43.500323000643405,,,777:0.026236823;778:0.025508771;779:0.024842341;780:0.026383781;781:0.02885677
fixed_optimized,512,777 778 779 780 781,,,,,,,a049ed7431de,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""n_actions"": 75, ""name"": ""fixed_optimized"", ""non_adaptive"": true, ""objective"": ""prior_center_fisher_logdet"", ""ridge"": 0.0001}",2500.0,0.027553258517303038,0.025811910259623545,0.029342581263075117,0.017470036633312702,0.02913140319287777,31.789120148086546,0.01593401672370318,0.0035296765388920905,41.438807847315914,42.466112482035534,41.99647003699534,43.02168507830938,,,777:0.030430565;778:0.028657243;779:0.026058346;780:0.02593115;781:0.026688989
fisher_greedy_fast,32,777 778 779 780 781,,,,,,,eaa0efc40037,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 75, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 781}",2500.0,0.04447182130729779,0.04336301577924285,0.04557316229745047,0.03738497942686081,0.03393567679449916,15.693288717651367,103.20257923500871,157.90038696138654,0.31774553213165035,0.43646966135129334,104.05139945335428,158.74437243620633,,,777:0.042812315;778:0.044467078;779:0.045507647;780:0.043855283;781:0.045716784
fisher_greedy_fast,64,777 778 779 780 781,,,,,,,9aa39427aea8,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 75, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 781}",2500.0,0.04095072838263586,0.039886371175693346,0.04208256303250324,0.03406130149960518,0.035580291878432035,17.9878018535614,108.53278980031479,158.18087141076103,0.32664839070445545,0.4400933777214959,109.39682142357472,159.04885371412382,,,777:0.039358986;778:0.043808152;779:0.039621069;780:0.039586532;781:0.042378902
fisher_greedy_fast,128,777 778 779 780 781,,,,,,,c6ef1f323971,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 75, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 781}",2500.0,0.03732499316143803,0.036251663628749084,0.03857513623776263,0.029272496700286865,0.03381852665916085,20.59079261894226,114.3678332379023,157.07759119009134,0.33346076723860785,0.4347779122646898,115.22079326444847,157.93045787065057,,,777:0.034943831;778:0.040428899;779:0.036169255;780:0.034315509;781:0.04076747
fisher_greedy_fast,256,777 778 779 780 781,,,,,,,725cc21e25d6,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 75, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 781}",2500.0,0.03640192864341661,0.03507987091100425,0.03770552295400878,0.027587564662098885,0.035571237094700336,24.14790849380493,125.38088200748511,162.19172773499741,0.30496744110844,0.37252936491277067,126.11714438400492,162.9324509263388,,,777:0.033270483;778:0.039153726;779:0.03475331;780:0.03529397;781:0.039538155
fisher_greedy_fast,512,777 778 779 780 781,,,,,,,1d6ef3b704e4,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 75, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 781}",2500.0,0.03347698404220864,0.032261355356337736,0.034810707360951924,0.0244236271828413,0.03348051873035729,28.57784333343506,133.16895095819817,161.55937609098618,0.3184596217754814,0.37507414071587847,133.91791371355973,162.31619796295416,,,777:0.031349369;778:0.034909022;779:0.035156696;780:0.030734305;781:0.035235528
