shots,reference,baseline,paired_tasks,wilcoxon_nonzero_pairs,reference_mse_mean,reference_mse_median,reference_mse_iqr,baseline_mse_mean,baseline_mse_median,baseline_mse_iqr,mse_delta_reference_minus_baseline,mse_ratio_reference_over_baseline,mse_ratio_ci95_lo,mse_ratio_ci95_hi,reference_decision_ms_mean,baseline_decision_ms_mean,latency_speedup_baseline_over_reference,latency_speedup_ci95_lo,latency_speedup_ci95_hi,wilcoxon_w,wilcoxon_p,wilcoxon_p_bh,wilcoxon_p_holm,cliffs_delta,rank_biserial
64,symqnet,fisher_greedy_fast,2500,2500,0.07249746302794666,0.07099380306899547,0.030410453770309695,0.04095072838263586,0.03406130149960518,0.035580291878432035,0.03154673464531079,1.770358327953146,1.7238572000220986,1.8188022875033294,1.546785116408072,108.53278980031479,70.16668873330543,70.00558532305668,70.32503131256246,277270.0,5.961768390225175e-278,1.375792705436579e-277,1.0731183102405316e-276,0.66116672,0.8226181527389045
64,symqnet,bald_2step_fast,2500,2500,0.07249746302794666,0.07099380306899547,0.030410453770309695,0.05474225930562243,0.04764978401362896,0.04351351596415043,0.017755203722324222,1.3243418146700539,1.2937215033683058,1.3594115134626101,1.546785116408072,69.52473888212374,44.94789750988383,44.815993448530314,45.07814732327719,704270.0,3.8395847951727723e-125,5.008154080660138e-125,3.071667836138218e-124,0.41328384,0.5494474210315874
128,symqnet,dad_transformer,2500,2500,0.07359934300553052,0.0719493230804801,0.030235422868281604,0.07056045186027884,0.06826878935098649,0.02848552502691746,0.003038891145251691,1.0430679093618784,1.034088057657679,1.0518963007435058,1.5753267664216561,0.8743657532520592,0.5550377051220776,0.5541874736992707,0.5559262035802736,1247098.0,2.034339790430618e-18,2.179649775461376e-18,6.103019371291855e-18,0.08179808,0.2021764094362255
128,symqnet,random,2500,2500,0.07359934300553052,0.0719493230804801,0.030235422868281604,0.04253508624006063,0.03447222523391247,0.03597345110028982,0.03106425676546991,1.7303207660176971,1.6841816730141015,1.7793119846721719,1.5753267664216561,0.029966286366753695,0.019022267002307025,0.018765753143970106,0.01927563133773392,310190.0,5.203738088042108e-264,1.0407476176084215e-263,8.325980940867372e-263,0.647184,0.8015577768892443
128,symqnet,fixed,2500,2500,0.07359934300553052,0.0719493230804801,0.030235422868281604,0.04298036575317383,0.0373007170855999,0.032626546919345856,0.03061897725235671,1.712394525169802,1.6723362653098026,1.7531795639873138,1.5753267664216561,0.0011859752056706282,0.0007528439374927671,0.0007506922509719012,0.0007548584144664565,223346.0,1.4446848068961567e-301,3.6117120172403915e-301,2.7449011331026977e-300,0.66107712,0.8571157137145142
128,symqnet,fixed_optimized,2500,2500,0.07359934300553052,0.0719493230804801,0.030235422868281604,0.030859743674611674,0.023586870171129704,0.030401351861655712,0.042739599330918865,2.38496287530997,2.309560074852357,2.4663876578180313,1.5753267664216561,0.01650867586851948,0.010479524769339648,0.003414643403547395,0.019323637894100104,100694.0,0.0,0.0,0.0,0.79578688,0.9355816073570572
128,symqnet,fisher_greedy_fast,2500,2500,0.07359934300553052,0.0719493230804801,0.030235422868281604,0.03732499316143803,0.029272496700286865,0.03381852665916085,0.03627434984409251,1.9718514799774698,1.9095661331348768,2.0323501903516337,1.5753267664216561,114.3678332379023,72.59943503511214,72.42435082140597,72.79684491006384,209560.0,9.264835059715553e-308,2.779450517914666e-307,1.945615362540266e-306,0.71643808,0.8659352259096361
128,symqnet,bald_2step_fast,2500,2500,0.07359934300553052,0.0719493230804801,0.030235422868281604,0.05563881896007806,0.04852021858096123,0.04640535218641162,0.01796052404545248,1.3228056306935538,1.2881905937530689,1.3564170554165205,1.5753267664216561,74.24692932764431,47.131129179183375,46.991942186764035,47.27727086694184,735487.0,2.3712295940959522e-116,2.8454755129151425e-116,1.4227377564575714e-115,0.4066464,0.5294765293882447
256,symqnet,dad_transformer,2500,2500,0.07493322612840682,0.07304241582751274,0.03031127089634538,0.07248482902206481,0.0699226263910532,0.030330338515341275,0.002448397106342018,1.0337780627943083,1.0236236160939143,1.0438382507824608,1.575642451535807,0.847291850881237,0.5377437311716033,0.536959316714221,0.5384996719440113,1337363.0,3.984754820256034e-10,4.122160158885552e-10,7.969509640512068e-10,0.07233504,0.1444299080367853
256,symqnet,random,2500,2500,0.07493322612840682,0.07304241582751274,0.03031127089634538,0.041071343513950705,0.032489046454429626,0.03893673699349165,0.03386188261445612,1.8244649363114758,1.772673709506477,1.8756512030848436,1.575642451535807,0.029178154665148916,0.018518258781812107,0.018436723575764598,0.018600472057122338,283563.0,2.93924647515601e-275,6.298385303905736e-275,4.996719007765217e-274,0.65751744,0.8185922431027589
256,symqnet,fixed,2500,2500,0.07493322612840682,0.07304241582751274,0.03031127089634538,0.039571235921327025,0.032223036512732506,0.03240971406921744,0.035361990207079794,1.8936286518162895,1.844271583724969,1.9443774896738921,1.575642451535807,0.0011215681779301828,0.0007118164256344898,0.0007085490643002172,0.0007167355551502562,193243.0,0.0,0.0,0.0,0.71026816,0.8763739304278289
256,symqnet,fixed_optimized,2500,2500,0.07493322612840682,0.07304241582751274,0.03031127089634538,0.026365697096800433,0.01875302568078041,0.0272553488612175,0.04856752903160639,2.842072631468569,2.7365383199211593,2.9517869327459723,1.575642451535807,0.016323615817560092,0.010359974626000443,0.003344332678398862,0.019148476633269594,48939.0,0.0,0.0,0.0,0.85134912,0.9686915633746501
256,symqnet,fisher_greedy_fast,2500,2500,0.07493322612840682,0.07304241582751274,0.03031127089634538,0.03640192864341661,0.027587564662098885,0.035571237094700336,0.038531297484990214,2.058496044603359,1.9898195245157446,2.128869890267576,1.575642451535807,125.38088200748511,79.57445033628925,79.27591905655554,79.86652485429256,212487.0,1.9364035284893506e-306,5.2811005322436836e-306,3.8728070569787013e-305,0.72292896,0.8640626949220311
256,symqnet,bald_2step_fast,2500,2500,0.07493322612840682,0.07304241582751274,0.03031127089634538,0.05443794497600757,0.045685915276408195,0.05014372197911143,0.020495281152399257,1.3764888840207348,1.3402399745264282,1.4151327315783364,1.575642451535807,79.1053208836445,50.20512160391409,50.049574768716546,50.35796857324736,682718.0,2.1185482746070875e-131,2.888929465373301e-131,1.906693447146379e-130,0.43891456,0.5632351859256297
512,symqnet,dad_transformer,2500,2500,0.07674740508096292,0.07520258985459805,0.03150757169350981,0.07601797317204999,0.0738654464483261,0.031111589819192903,0.0007294319089129566,1.0095955190394517,1.0001621190086563,1.020629919409295,1.5913563006244495,0.8658216199832451,0.5440777905259155,0.5431262301787979,0.5450092854030041,1507320.0,0.12209256097822538,0.12209256097822538,0.12209256097822538,0.02513088,0.03570091963214714
512,symqnet,random,2500,2500,0.07674740508096292,0.07520258985459805,0.03150757169350981,0.03734254194214009,0.028238053433597088,0.0369893372990191,0.03940486313882284,2.055227124063439,1.987432272376459,2.1235251133516932,1.5913563006244495,0.02932586918145211,0.018428223252042686,0.01835697978442765,0.018500335819569422,199859.0,0.0,0.0,0.0,0.7179008,0.8721413834466214
512,symqnet,fixed,2500,2500,0.07674740508096292,0.07520258985459805,0.03150757169350981,0.03250387087422423,0.026070335879921913,0.029544204473495483,0.0442435342067387,2.36117739262323,2.2950891130252913,2.4300471780416477,1.5913563006244495,0.001118312963646733,0.0007027420340799266,0.0007009728474639046,0.00070454233723291,80434.0,0.0,0.0,0.0,0.81860192,0.9485428228708517
512,symqnet,fixed_optimized,2500,2500,0.07674740508096292,0.07520258985459805,0.03150757169350981,0.027553258517303038,0.017470036633312702,0.02913140319287777,0.04919414656365989,2.785420280972092,2.6153435978922523,2.969994464075314,1.5913563006244495,0.01593401672370318,0.010012853009379897,0.0032023650221890973,0.01853049809649183,82524.0,0.0,0.0,0.0,0.84407264,0.9472057576969213
512,symqnet,fisher_greedy_fast,2500,2500,0.07674740508096292,0.07520258985459805,0.03150757169350981,0.03347698404220864,0.0244236271828413,0.03348051873035729,0.04327042103875428,2.292542392235747,2.2019996312053776,2.3769516914663087,1.5913563006244495,133.16895095819817,83.68267427347513,83.38916660714345,83.9638281712686,153912.0,0.0,0.0,0.0,0.76673792,0.9015357057177129
512,symqnet,bald_2step_fast,2500,2500,0.07674740508096292,0.07520258985459805,0.03150757169350981,0.053976119970623404,0.04480132460594177,0.050844163633883,0.02277128511033952,1.4218770286328997,1.38464723387163,1.4631758113406712,1.5913563006244495,85.43045059707688,53.68404961450425,53.51448777673206,53.872114810197104,627555.0,4.015116950158556e-148,5.735881357369365e-148,4.015116950158556e-147,0.46336832,0.5985253898440623
