shots,method,train_seeds,seed_mean_mse_mean,seed_mean_mse_std,seed_mean_mse_min,seed_mean_mse_max,seed_mean_mse_cv
32,symqnet,5,0.07184803008906543,0.004036567999079671,0.06575132700633257,0.07612387804165482,0.05618202745539153
64,symqnet,5,0.07249746302794666,0.003217922619923231,0.06783768354337663,0.0765901222255081,0.04438669279617097
128,symqnet,5,0.07359934300553053,0.0020807770010170808,0.07163937045652419,0.07693527880832553,0.028271679012959714
256,symqnet,5,0.07493322612840683,0.002265045384470931,0.07224854622595012,0.07792241553217173,0.030227517237673862
512,symqnet,5,0.07674740508096294,0.002330928741618834,0.0728157901685685,0.07830725388601423,0.030371433915711853
