method,shots,horizon,shot_time_us,decision_ms_mean,smc_update_ms_mean,quantum_ms_per_step,classical_ms_per_step,total_episode_time_ms
symqnet,256,36,100.0,1.7444746792976122,12.792669209163996,25.6,14.537143888461609,1444.9371799846178
symqnet,256,36,1000.0,1.7444746792976122,12.792669209163996,256.0,14.537143888461609,9739.337179984619
symqnet,256,36,10000.0,1.7444746792976122,12.792669209163996,2560.0,14.537143888461609,92683.33717998462
symqnet,512,36,100.0,1.695155480149616,15.387802794085454,51.2,17.08295827423507,2458.1864978724625
symqnet,512,36,1000.0,1.695155480149616,15.387802794085454,512.0,17.08295827423507,19046.986497872465
symqnet,512,36,10000.0,1.695155480149616,15.387802794085454,5120.0,17.08295827423507,184934.98649787248
symqnet,32,36,100.0,1.992562731916809,12.534226042387955,3.2,14.526788774304764,638.1643958749715
symqnet,32,36,1000.0,1.992562731916809,12.534226042387955,32.0,14.526788774304764,1674.9643958749714
symqnet,32,36,10000.0,1.992562731916809,12.534226042387955,320.0,14.526788774304764,12042.964395874971
symqnet,64,36,100.0,1.587488619967674,12.536533758251203,6.4,14.124022378218877,738.8648056158796
symqnet,64,36,1000.0,1.587488619967674,12.536533758251203,64.0,14.124022378218877,2812.46480561588
symqnet,64,36,10000.0,1.587488619967674,12.536533758251203,640.0,14.124022378218877,23548.464805615877
symqnet,128,36,100.0,1.5990127050084992,12.93662887441848,12.8,14.53564157942698,984.0830968593713
symqnet,128,36,1000.0,1.5990127050084992,12.93662887441848,128.0,14.53564157942698,5131.283096859372
symqnet,128,36,10000.0,1.5990127050084992,12.93662887441848,1280.0,14.53564157942698,46603.28309685937
symqnet,256,36,100.0,1.609666897078407,13.08345571789606,25.6,14.693122614974467,1450.5524141390806
symqnet,256,36,1000.0,1.609666897078407,13.08345571789606,256.0,14.693122614974467,9744.952414139081
symqnet,256,36,10000.0,1.609666897078407,13.08345571789606,2560.0,14.693122614974467,92688.95241413909
symqnet,512,36,100.0,1.6009323276049043,13.711852696779856,51.2,15.312785024384759,2394.4602608778514
symqnet,512,36,1000.0,1.6009323276049043,13.711852696779856,512.0,15.312785024384759,18983.26026087785
symqnet,512,36,10000.0,1.6009323276049043,13.711852696779856,5120.0,15.312785024384759,184871.26026087784
symqnet,32,36,100.0,1.6372467653114453,4.5539940180218155,3.2,6.191240783333261,338.0846681999974
symqnet,32,36,1000.0,1.6372467653114453,4.5539940180218155,32.0,6.191240783333261,1374.8846681999976
symqnet,32,36,10000.0,1.6372467653114453,4.5539940180218155,320.0,6.191240783333261,11742.884668199997
symqnet,64,36,100.0,1.4911530281430008,4.924105052602115,6.4,6.415258080745115,461.34929090682414
symqnet,64,36,1000.0,1.4911530281430008,4.924105052602115,64.0,6.415258080745115,2534.9492909068244
symqnet,64,36,10000.0,1.4911530281430008,4.924105052602115,640.0,6.415258080745115,23270.949290906825
symqnet,128,36,100.0,1.4903212863654416,5.497438098371236,12.8,6.987759384736678,712.3593378505204
symqnet,128,36,1000.0,1.4903212863654416,5.497438098371236,128.0,6.987759384736678,4859.55933785052
symqnet,128,36,10000.0,1.4903212863654416,5.497438098371236,1280.0,6.987759384736678,46331.55933785053
symqnet,256,36,100.0,1.490017461342116,6.245686290232051,25.6,7.735703751574167,1200.0853350566701
symqnet,256,36,1000.0,1.490017461342116,6.245686290232051,256.0,7.735703751574167,9494.48533505667
symqnet,256,36,10000.0,1.490017461342116,6.245686290232051,2560.0,7.735703751574167,92438.48533505668
symqnet,512,36,100.0,1.545156923292153,7.228767697773098,51.2,8.773924621065252,2159.061286358349
symqnet,512,36,1000.0,1.545156923292153,7.228767697773098,512.0,8.773924621065252,18747.861286358348
symqnet,512,36,10000.0,1.545156923292153,7.228767697773098,5120.0,8.773924621065252,184635.86128635833
symqnet,32,36,100.0,1.5579250448719704,7.977667835041777,3.2,9.535592879913748,458.48134367689494
symqnet,32,36,1000.0,1.5579250448719704,7.977667835041777,32.0,9.535592879913748,1495.281343676895
