method,shots,episode_idx,seed,eval_seed,task_id,final_mse,total_info_gain,decision_ms_mean,decision_ms_p95,crlb_theta_mse,mse_crlb_ratio,actions,true_theta,train_seed,checkpoint_path,checkpoint_config_hash,config_hash,device,hardware,train_wallclock_sec,task_bank_path
random,16,0,777,777,0,0.07824874669313431,0.03276348114013672,0.05908300227019936,0.1908793579787015,,,16 10 6 6,1.1110939 0.88281661 1.1000705 1.4635578 0.69616258,,,,7a1b79aa0c5d,cpu,cpu:arm64,,runs/paper_cpu_smoke/task_bank.npz
fixed,16,0,777,777,0,0.043987441807985306,0.19868183135986328,0.0011352531146258116,0.0016750127542763946,,,0 6 12 2,1.1110939 0.88281661 1.1000705 1.4635578 0.69616258,,,,7a1b79aa0c5d,cpu,cpu:arm64,,runs/paper_cpu_smoke/task_bank.npz
