shots,reference,baseline,paired_tasks,wilcoxon_nonzero_pairs,reference_mse_mean,baseline_mse_mean,mse_delta_reference_minus_baseline,mse_ratio_reference_over_baseline,mse_ratio_ci95_lo,mse_ratio_ci95_hi,reference_decision_ms_mean,baseline_decision_ms_mean,latency_speedup_baseline_over_reference,latency_speedup_ci95_lo,latency_speedup_ci95_hi,wilcoxon_w,wilcoxon_p
16,symqnet,fixed,1,1,0.0612863190472126,0.043987441807985306,0.017298877239227295,1.3932685450256606,1.3932685450256606,1.3932685450256606,0.477051995403599,0.0011352531146258116,0.0023797261631100745,0.0023797261631100745,0.0023797261631100745,0.0,0.3173105078629141
16,symqnet,random,1,1,0.0612863190472126,0.07824874669313431,-0.016962427645921707,0.7832242896816899,0.7832242896816899,0.7832242896816899,0.477051995403599,0.05908300227019936,0.12385023611569537,0.12385023611569537,0.12385023611569537,0.0,0.3173105078629141
