shots,reference,baseline,paired_tasks,wilcoxon_nonzero_pairs,reference_mse_mean,reference_mse_median,reference_mse_iqr,baseline_mse_mean,baseline_mse_median,baseline_mse_iqr,mse_delta_reference_minus_baseline,mse_ratio_reference_over_baseline,mse_ratio_ci95_lo,mse_ratio_ci95_hi,reference_decision_ms_mean,baseline_decision_ms_mean,latency_speedup_baseline_over_reference,latency_speedup_ci95_lo,latency_speedup_ci95_hi,wilcoxon_w,wilcoxon_p,wilcoxon_p_bh,wilcoxon_p_holm,cliffs_delta,rank_biserial
32,symqnet,random,1500,1500,0.24211584683582182,0.23738293498754504,0.0965067943558097,0.15880727031826972,0.1316043734550476,0.1306234560906887,0.08330857651755214,1.5245891850580346,1.470832061928567,1.5820388064747213,1.8183888573449591,0.016823030331310024,0.00925161318678197,0.009074190460830014,0.009445439816651493,158744.0,3.532156875399434e-128,4.4151960942492925e-128,2.1192941252396604e-127,0.5605835555555555,0.717976460137686
32,symqnet,fixed,1500,1500,0.24211584683582182,0.23738293498754504,0.0965067943558097,0.14969878213852644,0.13180206716060638,0.10482942126691341,0.09241706469729544,1.6173534839567072,1.5739632992327095,1.6662622312424524,1.8183888573449591,0.0017051252674449373,0.0009377121183719754,0.000925444548259262,0.0009498981892612138,103767.0,7.724572025907774e-165,2.1457144516410482e-164,1.3131772444043216e-163,0.6276444444444444,0.8156482345103264
32,symqnet,fixed_optimized,1500,1500,0.24211584683582182,0.23738293498754504,0.0965067943558097,0.12759850916887322,0.09751483798027039,0.12142435554414988,0.11451733766694865,1.8974817841749856,1.8223739440077016,1.9800864824510749,1.8183888573449591,0.03757579545102393,0.020664334418485482,0.005683861182016099,0.0426968417202022,97501.0,2.5939922369778092e-169,9.264257989206461e-169,4.928585250257837e-168,0.678968,0.8267803686431268
32,symqnet,fisher_greedy_fast,1500,1500,0.24211584683582182,0.23738293498754504,0.0965067943558097,0.1439205566396316,0.11402493715286255,0.13418399915099144,0.09819529019619029,1.6822881490242239,1.620180885058933,1.7484402031567572,1.8183888573449591,128.91104966604487,70.89300462073261,70.49887984105443,71.26927328571469,135705.0,5.6453524841527685e-143,8.8208632564887e-143,5.6453524841527685e-142,0.6077484444444444,0.7589073950699534
32,symqnet,bald_2step_fast,1500,1500,0.24211584683582182,0.23738293498754504,0.0965067943558097,0.1846366667865465,0.1553591638803482,0.15489649027585983,0.05747918004927536,1.3113096713109833,1.2664450514020018,1.3568877321974473,1.8183888573449591,67.61166417475194,37.18218130387807,37.00294582848522,37.35857468638874,273488.0,1.1769233615575534e-66,1.337412910860856e-66,4.7076934462302136e-66,0.4143173333333333,0.5141230290917166
64,symqnet,random,1500,1500,0.24726878480787082,0.24268969595432283,0.09901374205946925,0.14741811953702322,0.1192239262163639,0.13976276852190495,0.09985066527084757,1.6773296633035037,1.616403860864222,1.7405677239647073,1.5592437489475641,0.011577017870472951,0.007424764651637718,0.007410455347988004,0.007449023326360174,130148.0,1.149322244814438e-146,2.0523611514543537e-146,1.3791866937773257e-145,0.6054248888888889,0.7687799244947813
64,symqnet,fixed,1500,1500,0.24726878480787082,0.24268969595432283,0.09901374205946925,0.13395032520778477,0.11017508804798126,0.1071771401911974,0.113318459600086,1.8459737550043689,1.7855819092055296,1.9054789960426943,1.5592437489475641,0.0016453336510393352,0.0010552126004352293,0.001039876296971051,0.0010695767289251828,66607.0,2.9605298297262606e-192,1.850331143578913e-191,6.513165625397774e-191,0.7017493333333333,0.8816664445924939
64,symqnet,fixed_optimized,1500,1500,0.24726878480787082,0.24268969595432283,0.09901374205946925,0.12148475737745563,0.08575281873345375,0.13005482498556376,0.12578402743041514,2.0353893784353674,1.9504920153232048,2.1290850070192806,1.5592437489475641,0.022858945870582292,0.014660277385117814,0.00364093476182864,0.02863669794657057,88968.0,1.6755451935261628e-175,8.377725967630814e-175,3.518644906404942e-174,0.7021831111111111,0.8419400399733511
64,symqnet,fisher_greedy_fast,1500,1500,0.24726878480787082,0.24268969595432283,0.09901374205946925,0.13698459190828727,0.10277941823005676,0.13589552324265242,0.11028419289958352,1.8050846548743238,1.734032617273618,1.8836223979911617,1.5592437489475641,136.1638667189917,87.3268639434326,86.86154087751449,87.75853516896706,116852.0,1.0851420909901348e-155,2.4662320249775792e-155,1.627713136485202e-154,0.6420426666666667,0.7924015101043749
64,symqnet,bald_2step_fast,1500,1500,0.24726878480787082,0.24268969595432283,0.09901374205946925,0.18774403738727172,0.16008996963500977,0.16281232237815857,0.05952474742059906,1.3170526651550247,1.2719326800331976,1.3613264376236132,1.5592437489475641,71.66698286291299,45.96265523673623,45.748280106287424,46.171172154343715,274288.0,2.682742912298372e-66,2.916024904672143e-66,8.048228736895116e-66,0.4067528888888889,0.5127017543859649
128,symqnet,random,1500,1500,0.25244977873663105,0.24781189411878585,0.09823312014341357,0.14862324945426855,0.11153225973248482,0.14785024523735046,0.10382652928236251,1.6985887447865953,1.6295631203767467,1.7711870280462405,1.793170595828323,0.011694212545451051,0.006521528165059565,0.006503099781373985,0.006542495614686353,143251.0,4.875190588071505e-138,7.169397923634566e-138,4.387671529264355e-137,0.6028871111111112,0.7455012214079503
128,symqnet,fixed,1500,1500,0.25244977873663105,0.24781189411878585,0.09823312014341357,0.11573628438729792,0.0931132324039936,0.10430741682648659,0.13671349434933316,2.181250072724276,2.1077022176543676,2.268652549958299,1.793170595828323,0.0016536297388719738,0.0009221820515677758,0.0009074658747530692,0.0009355138428367642,40398.0,7.160312967120493e-213,5.966927472600411e-212,1.6468719824377134e-211,0.7788506666666667,0.9282291805463024
128,symqnet,fixed_optimized,1500,1500,0.25244977873663105,0.24781189411878585,0.09823312014341357,0.12301823695073835,0.07730794697999954,0.13479339145123959,0.12943154178589272,2.0521329600725986,1.945727079816358,2.1733370889629073,1.793170595828323,0.023375511072420824,0.013035854551040596,0.0034893445195113715,0.02519057417674245,100018.0,1.6533624674749498e-167,5.166757710859218e-167,2.9760524414549097e-166,0.6885377777777778,0.8223086831001555
128,symqnet,fisher_greedy_fast,1500,1500,0.25244977873663105,0.24781189411878585,0.09823312014341357,0.13758555337274447,0.098304383456707,0.14662617351859808,0.1148642253638866,1.8348567313073805,1.7578400460278305,1.9142813763708355,1.793170595828323,138.22727617705715,77.08540196824136,76.75021609141722,77.45734786057483,129097.0,2.274909334272674e-147,4.739394446401404e-147,3.1848730679817437e-146,0.6362346666666666,0.7706471241394626
128,symqnet,bald_2step_fast,1500,1500,0.25244977873663105,0.24781189411878585,0.09823312014341357,0.1913609656059804,0.15933676809072495,0.1790490262210369,0.06108881313065068,1.3192334075928258,1.2737211611422485,1.3674351740513628,1.793170595828323,92.93108783935682,51.825012107355555,51.55861491645333,52.09247908345879,277134.0,4.938391826768305e-65,5.144158152883651e-65,9.87678365353661e-65,0.39798044444444447,0.5076455696202532
256,symqnet,random,1500,1500,0.2610834214833876,0.25521433800458904,0.09986185412853957,0.14324397367828837,0.10743635892868042,0.15049193520098925,0.11783944780509917,1.8226485539262882,1.7483496285259765,1.9064100036215668,1.9930536580854095,0.011638242964788029,0.005839402726351128,0.005819243613721584,0.005861552961533278,114826.0,4.328975061046526e-157,1.0822437652616316e-156,6.926360097674442e-156,0.6338711111111112,0.7960008882966911
256,symqnet,fixed,1500,1500,0.2610834214833876,0.25521433800458904,0.09986185412853957,0.1021018291497603,0.07376915961503983,0.09478617552667856,0.15898159233362724,2.557088581639779,2.4504958410531774,2.671563997992427,1.9930536580854095,0.0016296472383180152,0.0008176635042949651,0.0008056520560548509,0.0008296753110625827,24224.0,4.017993777170474e-226,5.022492221463092e-225,9.643185065209137e-225,0.8228266666666667,0.9569638019098379
256,symqnet,fixed_optimized,1500,1500,0.2610834214833876,0.25521433800458904,0.09986185412853957,0.12143591610606139,0.0782170221209526,0.14312410587444901,0.13964750537732615,2.1499687230535565,2.0429062947339562,2.2729061988272212,1.9930536580854095,0.023494098486413283,0.011787990951022592,0.0028115599682135253,0.022877688076291838,93366.0,2.682014569752876e-172,1.117506070730365e-171,5.364029139505752e-171,0.6977297777777778,0.834126582278481
256,symqnet,fisher_greedy_fast,1500,1500,0.2610834214833876,0.25521433800458904,0.09986185412853957,0.14561244083444277,0.09633594751358032,0.16957191284745932,0.11547098064894476,1.7930021637384133,1.7163188021359976,1.878554819814022,1.9930536580854095,126.89963287156058,63.67095655290304,63.47935578341088,63.8648187063917,144473.0,3.013876079183899e-137,3.9656264199788147e-137,2.109713255428729e-136,0.5971573333333333,0.7433302242949145
256,symqnet,bald_2step_fast,1500,1500,0.2610834214833876,0.25521433800458904,0.09986185412853957,0.19796469406240308,0.16237352788448334,0.19406399875879288,0.06311872742098446,1.3188383045771184,1.2719821256449406,1.368880968682819,1.9930536580854095,81.96974040306587,41.12771378258255,40.97170166118088,41.2875739166028,288946.0,6.467966437680554e-60,6.467966437680554e-60,6.467966437680554e-60,0.38779555555555556,0.486660448589829
512,symqnet,random,1500,1500,0.2725983657474319,0.2655651122331619,0.10566503852605824,0.1562263216453915,0.11257070302963257,0.17158767953515053,0.11637204410204044,1.7448939645790684,1.6647714709128663,1.8237955559936783,1.616661518988527,0.026777343248896718,0.01656335784230833,0.016413989402401116,0.016711377589202582,143414.0,6.218021140794447e-138,8.636140473325621e-138,4.974416912635557e-137,0.6017893333333333,0.7452116366866534
512,symqnet,fixed,1500,1500,0.2725983657474319,0.2655651122331619,0.10566503852605824,0.09518999163635695,0.0671268105506897,0.10048139188438654,0.17740837411107493,2.8637292751196695,2.729838200790182,2.9997639388649833,1.616661518988527,0.0015112273179477562,0.0009347827607681686,0.0009187527401983962,0.0009504725144724712,16009.0,5.239570668399792e-233,1.309892667099948e-231,1.309892667099948e-231,0.861576,0.9715585165445259
512,symqnet,fixed_optimized,1500,1500,0.2725983657474319,0.2655651122331619,0.10566503852605824,0.14004425888819,0.08919835835695267,0.17127427086234093,0.13255410685924193,1.9465158222949492,1.8533600720090693,2.054959699721428,1.616661518988527,0.023662836277960907,0.014636852550783598,0.0036841010346329015,0.02813138715460299,129669.0,5.495893881358107e-147,1.0569026694919437e-146,7.144662045765539e-146,0.6375493333333333,0.7696309127248501
512,symqnet,fisher_greedy_fast,1500,1500,0.2725983657474319,0.2655651122331619,0.10566503852605824,0.1506647612277108,0.10994816571474075,0.17315602768212557,0.12193360451972113,1.809304070348831,1.729737013670505,1.9040667659750572,1.616661518988527,136.3586419425383,84.34582028515891,83.95892889544035,84.7316354602816,131197.0,5.766127853773411e-146,9.61021308962235e-146,6.3427406391507516e-145,0.6152373333333333,0.7669162780368644
512,symqnet,bald_2step_fast,1500,1500,0.2725983657474319,0.2655651122331619,0.10566503852605824,0.19815867083139407,0.1603642925620079,0.20170375518500805,0.07443969491603784,1.375657015682023,1.3240997351027597,1.4305418450214737,1.616661518988527,90.29794295731915,55.85457555383303,55.61455442397125,56.1102892570622,266042.0,4.9321133902263965e-70,5.871563559793329e-70,2.466056695113198e-69,0.42209955555555556,0.5273515434155007
