method,shots,eval_seed,train_seed,checkpoint_path,checkpoint_config_hash,checkpoint_selection_metric,best_validation_mse,validation_task_bank_path,config_hash,device,hardware,train_wallclock_sec,reward_mode,behavior_clone_checkpoint,task_bank_path,policy_params,episodes,mse_mean,mse_mean_ci95_lo,mse_mean_ci95_hi,mse_median,mse_iqr,info_gain_mean,decision_ms_mean,decision_ms_p95,smc_update_ms_mean,smc_update_ms_p95,step_total_ms_mean,step_total_ms_p95,crlb_theta_mse_mean,mse_crlb_ratio_mean,per_seed_mse_mean
fixed_optimized,32,777 778 779 780 781,,,,,,,569fabcdf61f,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""n_actions"": 75, ""name"": ""fixed_optimized"", ""non_adaptive"": true, ""objective"": ""prior_center_fisher_logdet"", ""ridge"": 0.0001}",1500.0,0.12759850916887322,0.1222427674452619,0.1330327931073184,0.09751483798027039,0.12142435554414988,20.208461660703023,0.03757579545102393,0.003704035577053825,61.07926832156954,67.05206613487098,61.66247053284854,67.6584137507404,,,777:0.13275245;778:0.12523844;779:0.12445217;780:0.12369526;781:0.13185423
fixed_optimized,64,777 778 779 780 781,,,,,,,95b173be8b06,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""n_actions"": 75, ""name"": ""fixed_optimized"", ""non_adaptive"": true, ""objective"": ""prior_center_fisher_logdet"", ""ridge"": 0.0001}",1500.0,0.12148475737745563,0.11628479981322308,0.12696126019733492,0.08575281873345375,0.13005482498556376,23.551652099927267,0.022858945870582292,0.0019231439218856394,38.28152235381141,39.7123699785055,38.736120943805744,40.16819870021815,,,777:0.11879107;778:0.12697962;779:0.12313474;780:0.11916021;781:0.11935816
fixed_optimized,128,777 778 779 780 781,,,,,,,306fdfd94642,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""n_actions"": 75, ""name"": ""fixed_optimized"", ""non_adaptive"": true, ""objective"": ""prior_center_fisher_logdet"", ""ridge"": 0.0001}",1500.0,0.12301823695073835,0.11602199765976984,0.12971478717680826,0.07730794697999954,0.13479339145123959,28.183312346140543,0.023375511072420824,0.003092207460819433,38.78050421499776,40.58401204527278,39.304746998816775,41.1330714081026,,,777:0.12249449;778:0.12175745;779:0.12215868;780:0.12372964;781:0.12495093
fixed_optimized,256,777 778 779 780 781,,,,,,,bc0ec6fc153d,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""n_actions"": 75, ""name"": ""fixed_optimized"", ""non_adaptive"": true, ""objective"": ""prior_center_fisher_logdet"", ""ridge"": 0.0001}",1500.0,0.12143591610606139,0.11498969551089103,0.12775091502250288,0.0782170221209526,0.14312410587444901,33.057708916664126,0.023494098486413283,0.0021433505268457034,39.02292591927323,40.70139605798371,39.488547672586584,41.16456573592344,,,777:0.11953623;778:0.1180442;779:0.12735349;780:0.11113596;781:0.1311097
fixed_optimized,512,777 778 779 780 781,,,,,,,dd6618df5121,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""n_actions"": 75, ""name"": ""fixed_optimized"", ""non_adaptive"": true, ""objective"": ""prior_center_fisher_logdet"", ""ridge"": 0.0001}",1500.0,0.14004425888819,0.1323381190915301,0.1474153479051233,0.08919835835695267,0.17127427086234093,37.50623725382487,0.023662836277960907,0.002838020232350876,39.70000209683484,41.526007388388585,40.2030187605393,42.03417532510745,,,777:0.13658681;778:0.15289612;779:0.13894071;780:0.12279596;781:0.14900168
fisher_greedy_fast,32,777 778 779 780 781,,,,,,,9d15901e9649,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 75, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 781}",1500.0,0.1439205566396316,0.1384072955227069,0.14924399506590175,0.11402493715286255,0.13418399915099144,19.37353457291921,128.91104966604487,191.8209230307451,0.4361445855789094,0.730439504084643,130.08974314922966,193.07976267385916,,,777:0.14111791;778:0.14025632;779:0.13637165;780:0.1442399;781:0.15761701
fisher_greedy_fast,64,777 778 779 780 781,,,,,,,4baa97ffab5d,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 75, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 781}",1500.0,0.13698459190828727,0.13137580779399724,0.1428008919069233,0.10277941823005676,0.13589552324265242,22.571410278638204,136.1638667189917,191.50396942382213,0.43255228339910023,0.7042976324058449,137.29532033964318,192.72331969828033,,,777:0.126164;778:0.14472906;779:0.12850757;780:0.13436697;781:0.15115536
fisher_greedy_fast,128,777 778 779 780 781,,,,,,,2013c8296831,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 75, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 781}",1500.0,0.13758555337274447,0.13160287906931092,0.14374626144048525,0.098304383456707,0.14662617351859808,26.870501434961955,138.22727617705715,181.28312367598605,0.44547642066566007,0.6199118746250557,139.36626227087712,182.46970249859928,,,777:0.11983715;778:0.1391038;779:0.14366309;780:0.1383525;781:0.14697123
fisher_greedy_fast,256,777 778 779 780 781,,,,,,,610eafe8f54d,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 75, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 781}",1500.0,0.14561244083444277,0.13852891877734025,0.15224013732422997,0.09633594751358032,0.16957191284745932,31.755551311810812,126.89963287156058,148.04044096245585,0.3192366560127724,0.3734297966196512,127.6484477801822,148.80252212010478,,,777:0.12721574;778:0.15639502;779:0.15125081;780:0.13262973;781:0.16057092
fisher_greedy_fast,512,777 778 779 780 781,,,,,,,583c4a0606b5,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 75, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 781}",1500.0,0.1506647612277108,0.14338284720114508,0.1578688795541258,0.10994816571474075,0.17315602768212557,36.04218881193797,136.3586419425383,150.5461619430183,0.32513222787141177,0.35557587262398255,137.09868347222047,151.2955097774005,,,777:0.14734135;778:0.14884466;779:0.16038953;780:0.13176117;781:0.1649871
