method,shots,eval_seed,train_seed,checkpoint_path,checkpoint_config_hash,checkpoint_selection_metric,best_validation_mse,validation_task_bank_path,config_hash,device,hardware,train_wallclock_sec,reward_mode,behavior_clone_checkpoint,task_bank_path,policy_params,episodes,mse_mean,mse_mean_ci95_lo,mse_mean_ci95_hi,mse_median,mse_iqr,info_gain_mean,decision_ms_mean,decision_ms_p95,smc_update_ms_mean,smc_update_ms_p95,step_total_ms_mean,step_total_ms_p95,crlb_theta_mse_mean,mse_crlb_ratio_mean,per_seed_mse_mean
full,32,777 778 779 780 781,779,runs/ablations_paper/full_seed_779/best_agent.pt,11be24b217ad,heldout_validation_mse,0.06418203366047237,runs/ablations_paper/validation_task_bank.npz,f02ee14e0ce8,cpu,cpu:x86_64,7818.314835487981,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",1500.0,0.06531238185210775,0.06391973674141335,0.0666956836865206,0.06189375929534435,0.0368714053183794,7.053260628382365,1.6312469152617268,1.695632350728071,12.827858819874193,38.62522413226543,15.026616894075199,40.85451849491801,0.06913432085876742,3.0456038627587385,777:0.064745448;778:0.063632779;779:0.067002735;780:0.065611128;781:0.06556982
full,64,777 778 779 780 781,779,runs/ablations_paper/full_seed_779/best_agent.pt,11be24b217ad,heldout_validation_mse,0.06418203366047237,runs/ablations_paper/validation_task_bank.npz,d120e8d9c7d1,cpu,cpu:x86_64,7818.314835487981,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",1500.0,0.06752293066773564,0.06591206463284326,0.06915391754446706,0.06296400353312492,0.04156173765659332,9.122510399500529,2.1009499600191637,2.6830806949874386,13.19236162426683,39.56714358155538,16.034073541359113,42.76192723356265,1.1572716344931413,7.861163652661749,777:0.067790904;778:0.066389224;779:0.06730035;780:0.069464459;781:0.066669717
full,128,777 778 779 780 781,779,runs/ablations_paper/full_seed_779/best_agent.pt,11be24b217ad,heldout_validation_mse,0.06418203366047237,runs/ablations_paper/validation_task_bank.npz,c6e89fa27a1a,cpu,cpu:x86_64,7818.314835487981,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",1500.0,0.07107513618158798,0.0692864880861404,0.07291336242372636,0.0661064013838768,0.047535804100334644,11.164442110061646,1.637853792111855,1.7013208771046873,13.202190502984362,38.781914164409194,15.409674998083913,41.019650464877486,0.04162329113179888,21.483879684938422,777:0.073449474;778:0.066096356;779:0.073368723;780:0.071703594;781:0.070757533
full,256,777 778 779 780 781,779,runs/ablations_paper/full_seed_779/best_agent.pt,11be24b217ad,heldout_validation_mse,0.06418203366047237,runs/ablations_paper/validation_task_bank.npz,c9281380fe50,cpu,cpu:x86_64,7818.314835487981,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",1500.0,0.07415488798962906,0.07223264795322903,0.0760996791316662,0.06770509481430054,0.04907815530896187,13.166384725570678,1.5115115711232647,1.536009152031814,12.546836953588624,36.040376106199496,14.578763972519448,38.086055332329124,0.006543842298545378,45.17830048301193,777:0.071926764;778:0.07074683;779:0.075090932;780:0.076970348;781:0.076039565
full,512,777 778 779 780 781,779,runs/ablations_paper/full_seed_779/best_agent.pt,11be24b217ad,heldout_validation_mse,0.06418203366047237,runs/ablations_paper/validation_task_bank.npz,0c0a58dc4510,cpu,cpu:x86_64,7818.314835487981,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",1500.0,0.07785515613791844,0.07585811972068622,0.07990616736731802,0.07168331369757652,0.05616115778684616,15.225878049850463,1.535129089121862,1.5934410231032718,13.237372444619217,36.075113903692305,15.301527792130837,38.1777438306793,0.01667380711721582,73.76435793575705,777:0.081231626;778:0.077290678;779:0.071533556;780:0.082254318;781:0.076965603
no_vae,32,777 778 779 780 781,777,runs/ablations_paper/no_vae_seed_777/best_agent.pt,d89c78c76611,heldout_validation_mse,0.06927241830271669,runs/ablations_paper/validation_task_bank.npz,fac5f8627685,cpu,cpu:x86_64,8217.612595331972,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": false}",1500.0,0.07324217286085088,0.07190645071064744,0.07475928710421237,0.06974375247955322,0.03664307203143835,4.007983102798462,1.376244114006921,1.4205527304050822,5.9778853525791344,37.790865092926346,7.878746168073525,39.717939383195095,0.009305164352473284,17.147856476865552,777:0.074117572;778:0.070745335;779:0.074672009;780:0.073065698;781:0.07361025
no_vae,64,777 778 779 780 781,777,runs/ablations_paper/no_vae_seed_777/best_agent.pt,d89c78c76611,heldout_validation_mse,0.06927241830271669,runs/ablations_paper/validation_task_bank.npz,6d74dead38cd,cpu,cpu:x86_64,8217.612595331972,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": false}",1500.0,0.0733381235493968,0.07191275964380862,0.07487158204615116,0.06944779679179192,0.037002100609242916,5.0161792780558265,1.3784674328958824,1.4264659519346121,6.6297491763662375,37.872505731977675,8.534071732965659,39.8005739733538,0.004867505498979457,35.499797095151074,777:0.074145142;778:0.072943386;779:0.074501974;780:0.072969312;781:0.072130805
no_vae,128,777 778 779 780 781,777,runs/ablations_paper/no_vae_seed_777/best_agent.pt,d89c78c76611,heldout_validation_mse,0.06927241830271669,runs/ablations_paper/validation_task_bank.npz,5bff53825f3b,cpu,cpu:x86_64,8217.612595331972,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": false}",1500.0,0.07378020038083195,0.07214255053483261,0.07548701656701354,0.06978705525398254,0.04124212358146906,6.007309772491455,1.6126897932737374,1.8779735718271695,8.201404662822219,41.61100912571419,10.448080177050239,43.999771970440634,0.0033842690174453083,73.98077256382588,777:0.072901678;778:0.071944387;779:0.074701846;780:0.073545549;781:0.075807542
no_vae,256,777 778 779 780 781,777,runs/ablations_paper/no_vae_seed_777/best_agent.pt,d89c78c76611,heldout_validation_mse,0.06927241830271669,runs/ablations_paper/validation_task_bank.npz,abba055023e7,cpu,cpu:x86_64,8217.612595331972,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": false}",1500.0,0.07548863746660452,0.07392267230710325,0.07715295718037524,0.07174041494727135,0.04097716324031353,7.531363662083944,1.6138476812953337,1.8721296499134041,9.883128713210613,41.75345771003049,12.12947526614018,44.15401405119337,0.0012143719169587172,135.8867277421218,777:0.076445625;778:0.073851713;779:0.074839334;780:0.075037349;781:0.077269166
no_vae,512,777 778 779 780 781,777,runs/ablations_paper/no_vae_seed_777/best_agent.pt,d89c78c76611,heldout_validation_mse,0.06927241830271669,runs/ablations_paper/validation_task_bank.npz,e91ead351f1d,cpu,cpu:x86_64,8217.612595331972,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": false}",1500.0,0.07883527232551327,0.07701352185425349,0.0807670447686299,0.07273400202393532,0.046085432171821594,9.500539944966635,1.5724801562955018,1.7454779043522042,12.074284616422286,41.405236470280215,14.252414781207873,43.66056191222742,0.0007996740925360456,445.24843896015886,777:0.080530609;778:0.076135977;779:0.078926986;780:0.07908194;781:0.07950085
no_vae,32,777 778 779 780 781,778,runs/ablations_paper/no_vae_seed_778/best_agent.pt,ef34131c7307,heldout_validation_mse,0.05685653173713945,runs/ablations_paper/validation_task_bank.npz,fac5f8627685,cpu,cpu:x86_64,7378.84390764893,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": false}",1500.0,0.06375428824344029,0.0621729134296688,0.06546984891293882,0.059003254398703575,0.04337011277675629,10.43163073539734,1.5967142783316646,1.756788803206291,19.532077814191492,41.77661150451362,21.74619963347127,44.07906936301151,1.2558688147200479,0.18554339807531192,777:0.062673641;778:0.062826307;779:0.063096672;780:0.063333487;781:0.066841335
no_vae,64,777 778 779 780 781,778,runs/ablations_paper/no_vae_seed_778/best_agent.pt,ef34131c7307,heldout_validation_mse,0.05685653173713945,runs/ablations_paper/validation_task_bank.npz,6d74dead38cd,cpu,cpu:x86_64,7378.84390764893,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": false}",1500.0,0.06821932547570517,0.06634499772603934,0.07013866086493557,0.06174047477543354,0.047201892361044884,12.36560739771525,1.5655359073749018,1.7280009022215381,19.128497657549346,41.481190877539724,21.30495684773066,43.74563475738978,0.6795589248418178,1.092915240291106,777:0.070016277;778:0.066758221;779:0.066640101;780:0.067297911;781:0.070384117
no_vae,128,777 778 779 780 781,778,runs/ablations_paper/no_vae_seed_778/best_agent.pt,ef34131c7307,heldout_validation_mse,0.05685653173713945,runs/ablations_paper/validation_task_bank.npz,5bff53825f3b,cpu,cpu:x86_64,7378.84390764893,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": false}",1500.0,0.06959765163141614,0.06765724547925249,0.07149958232042845,0.06379541754722595,0.048314654268324375,13.946656782150269,1.4025873330969327,1.4640407731446128,17.217832791416356,38.4158177395002,19.159286015028894,40.39134701213334,0.1864465812171893,5.793052959954323,777:0.070916539;778:0.069537449;779:0.068874549;780:0.068805103;781:0.069854619
