shots,reference,baseline,paired_tasks,wilcoxon_nonzero_pairs,reference_mse_mean,reference_mse_median,reference_mse_iqr,baseline_mse_mean,baseline_mse_median,baseline_mse_iqr,mse_delta_reference_minus_baseline,mse_ratio_reference_over_baseline,mse_ratio_ci95_lo,mse_ratio_ci95_hi,reference_decision_ms_mean,baseline_decision_ms_mean,latency_speedup_baseline_over_reference,latency_speedup_ci95_lo,latency_speedup_ci95_hi,wilcoxon_w,wilcoxon_p,wilcoxon_p_bh,wilcoxon_p_holm,cliffs_delta,rank_biserial
32,full,no_vae,1500,1500,0.07051584359786163,0.06936499538520971,0.02960472491880258,0.07058179426327761,0.06880319491028786,0.03041405075540146,-6.595066541598901e-05,0.9990656136457798,0.9865006906728421,1.011314329579581,1.6155190247960425,1.4527030099667666,0.8992175193666746,0.8977413650664074,0.9004339755339956,555563.0,0.6629923254828062,0.6629923254828062,1.0,0.007747555555555555,0.012990450810570731
32,full,no_smc_feedback,1500,1500,0.07051584359786163,0.06936499538520971,0.02960472491880258,0.059642764062672445,0.05640437578161557,0.028538852619628116,0.010873079535189189,1.182303414438737,1.163939065179024,1.201573740463087,1.6155190247960425,1.5150619735229862,0.9378174755411879,0.9365432369895947,0.9389157360073451,255202.0,4.200406070451622e-75,8.400812140903244e-74,8.400812140903244e-74,0.30156533333333335,0.5466098156784366
32,full,no_graph,1500,1500,0.07051584359786163,0.06936499538520971,0.02960472491880258,0.0722628696563964,0.07027105614542961,0.029262393092115715,-0.0017470260585347812,0.9758240149216088,0.9646412497995542,0.9870237168655036,1.6155190247960425,0.951310149027483,0.5888572863743186,0.5875908658630137,0.5905790846918364,503148.0,0.0003713487949664646,0.0005713058384099456,0.0029707903597317167,-0.035126222222222225,-0.1061105929380413
32,full,mlp_only,1500,1500,0.07051584359786163,0.06936499538520971,0.02960472491880258,0.06906215943106346,0.06788712491591772,0.030896334288020924,0.001453684166798161,1.0210489243135992,1.0091795109955737,1.0334446113868365,1.6155190247960425,0.3537980832136524,0.21899963899114036,0.21870321670472206,0.2192987330306743,495570.0,6.038807805430272e-05,0.00010064679675717118,0.0005985666300726775,0.047626666666666664,0.11957361758827448
64,full,no_vae,1500,1500,0.07057260680064145,0.06852259517957768,0.02861472405493258,0.07174396747133384,0.0696635115891695,0.03120479530965288,-0.0011713606706923907,0.9836730430170255,0.9700202681174519,0.9976183585418731,1.7384619575222369,1.5889979031994756,0.9140251222202258,0.9112157677553705,0.9167113961680423,529933.0,0.049611354984824045,0.05836629998214594,0.19844541993929618,-0.02397777777777778,-0.0585245391960915
64,full,no_smc_feedback,1500,1500,0.07057260680064145,0.06852259517957768,0.02861472405493258,0.060247604630163154,0.056746698295076684,0.02975828836982449,0.010325002170478305,1.171376144061818,1.1485332746178647,1.1939960550464848,1.7384619575222369,1.5433048267250904,0.8877415004954745,0.885342737615173,0.8901625968054816,301602.0,1.1366255504246035e-54,1.1366255504246035e-53,2.159588545806747e-53,0.2836106666666667,0.4641758827448368
64,full,no_graph,1500,1500,0.07057260680064145,0.06852259517957768,0.02861472405493258,0.07252023978251963,0.0705186122407516,0.03022186504676938,-0.001947632981878188,0.9731435942887265,0.9609564479731307,0.9858791565035605,1.7384619575222369,0.9538724916817529,0.5486875841915292,0.5469420065724241,0.5510350672734912,483903.0,2.5184907690325036e-06,6.860063701597598e-06,3.525887076645505e-05,-0.05526311111111111,-0.14030113257828114
64,full,mlp_only,1500,1500,0.07057260680064145,0.06852259517957768,0.02861472405493258,0.06858954010758962,0.06684986501932144,0.030371640187998615,0.0019830666930518216,1.0289120861568861,1.014486049250208,1.0422892737112597,1.7384619575222369,0.3578110208136983,0.20582044908458774,0.20528036700402622,0.2063489047377304,491009.0,1.8429170699193427e-05,3.6858341398386854e-05,0.00020272087769112769,0.05262755555555555,0.12767666000444147
128,full,no_vae,1500,1500,0.07182307626120746,0.06952951848506927,0.031117753125727184,0.07264209560103095,0.06940539026012024,0.0334010859951377,-0.0008190193398234747,0.9887252792881726,0.9746645213443138,1.003656613441536,1.6254405247631056,1.6183072112552408,0.9956114583097991,0.9932711477258293,0.9978674131998843,546248.0,0.32171133024408927,0.3574570336045436,0.9651339907322678,-0.009745777777777779,-0.029539418165667332
128,full,no_smc_feedback,1500,1500,0.07182307626120746,0.06952951848506927,0.031117753125727184,0.06190475087147206,0.058685892572005585,0.030757716546456017,0.0099183253897354,1.1602191310054382,1.1373863667892208,1.1828591197713554,1.6254405247631056,1.5660162596599727,0.9634411322974776,0.9614014519779422,0.9654013810564283,328397.0,2.2282579361004577e-44,1.4855052907336386e-43,4.010864284980824e-43,0.2631831111111111,0.4165720630690651
