method,shots,horizon,shot_time_us,decision_ms_mean,smc_update_ms_mean,quantum_ms_per_step,classical_ms_per_step,total_episode_time_ms
random,128,36,100.0,0.021587587834801525,7115.80356924869,12.8,7115.825156836525,256630.5056461149
random,128,36,1000.0,0.021587587834801525,7115.80356924869,128.0,7115.825156836525,260777.7056461149
random,128,36,10000.0,0.021587587834801525,7115.80356924869,1280.0,7115.825156836525,302249.7056461149
fixed,128,36,100.0,0.0017285136790532202,7188.466780611681,12.8,7188.4685091253605,259245.66632851298
fixed,128,36,1000.0,0.0017285136790532202,7188.466780611681,128.0,7188.4685091253605,263392.86632851296
fixed,128,36,10000.0,0.0017285136790532202,7188.466780611681,1280.0,7188.4685091253605,304864.86632851296
fisher_greedy_fast,128,36,100.0,22321.37299862985,0.3540725008739779,12.8,22321.727071130725,804042.9745607061
fisher_greedy_fast,128,36,1000.0,22321.37299862985,0.3540725008739779,128.0,22321.727071130725,808190.1745607061
fisher_greedy_fast,128,36,10000.0,22321.37299862985,0.3540725008739779,1280.0,22321.727071130725,849662.1745607061
bald_2step_fast,128,36,100.0,13269.788986802358,0.3956736311536385,12.8,13270.184660433511,478187.4477756064
bald_2step_fast,128,36,1000.0,13269.788986802358,0.3956736311536385,128.0,13270.184660433511,482334.6477756064
bald_2step_fast,128,36,10000.0,13269.788986802358,0.3956736311536385,1280.0,13270.184660433511,523806.6477756064
symqnet,128,36,100.0,2.094790622165116,1050.865156247746,12.8,1052.9599468699112,38367.3580873168
symqnet,128,36,1000.0,2.094790622165116,1050.865156247746,128.0,1052.9599468699112,42514.5580873168
symqnet,128,36,10000.0,2.094790622165116,1050.865156247746,1280.0,1052.9599468699112,83986.55808731681
symqnet,128,36,100.0,2.0706693020959697,1003.2366790839134,12.8,1005.3073483860094,36651.864541896335
symqnet,128,36,1000.0,2.0706693020959697,1003.2366790839134,128.0,1005.3073483860094,40799.06454189634
symqnet,128,36,10000.0,2.0706693020959697,1003.2366790839134,1280.0,1005.3073483860094,82271.06454189634
symqnet,128,36,100.0,2.093027798368388,987.1754106845605,12.8,989.2684384829289,36074.46378538544
symqnet,128,36,1000.0,2.093027798368388,987.1754106845605,128.0,989.2684384829289,40221.66378538543
symqnet,128,36,10000.0,2.093027798368388,987.1754106845605,1280.0,989.2684384829289,81693.66378538545
dad_transformer,128,36,100.0,0.8087650886995512,303.1758994497229,12.8,303.98466453842246,11404.24792338321
dad_transformer,128,36,1000.0,0.8087650886995512,303.1758994497229,128.0,303.98466453842246,15551.447923383208
dad_transformer,128,36,10000.0,0.8087650886995512,303.1758994497229,1280.0,303.98466453842246,57023.44792338321
dad_transformer,128,36,100.0,0.8999401843822044,1229.1011112875356,12.8,1230.0010514719177,44740.83785298904
dad_transformer,128,36,1000.0,0.8999401843822044,1229.1011112875356,128.0,1230.0010514719177,48888.037852989044
dad_transformer,128,36,10000.0,0.8999401843822044,1229.1011112875356,1280.0,1230.0010514719177,90360.03785298904
dad_transformer,128,36,100.0,1.2172832929839688,4458.158270690408,12.8,4459.375553983392,160998.3199434021
dad_transformer,128,36,1000.0,1.2172832929839688,4458.158270690408,128.0,4459.375553983392,165145.51994340212
dad_transformer,128,36,10000.0,1.2172832929839688,4458.158270690408,1280.0,4459.375553983392,206617.51994340212
