method,shots,eval_seed,train_seed,checkpoint_path,checkpoint_config_hash,checkpoint_selection_metric,best_validation_mse,validation_task_bank_path,config_hash,device,hardware,train_wallclock_sec,reward_mode,behavior_clone_checkpoint,task_bank_path,policy_params,episodes,mse_mean,mse_mean_ci95_lo,mse_mean_ci95_hi,mse_median,mse_iqr,info_gain_mean,decision_ms_mean,decision_ms_p95,smc_update_ms_mean,smc_update_ms_p95,step_total_ms_mean,step_total_ms_p95,crlb_theta_mse_mean,mse_crlb_ratio_mean,per_seed_mse_mean
random,128,777,,,,,,,3621eb26b949,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""n_actions"": 180, ""name"": ""random""}",100.0,0.10058006055653096,0.09466820707451552,0.106388014100492,0.09834839403629303,0.0375092513859272,55.1573846244812,0.021587587834801525,0.023063647095113993,7115.80356924869,7245.258350523654,7116.300785685535,7245.768182379252,,,777:0.10058006
fixed,128,777,,,,,,,2f352e558903,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 12, ""name"": ""fixed""}",100.0,0.07559162322431803,0.07210112394299359,0.07989926464110612,0.07090835645794868,0.02545041311532259,13.644405174255372,0.0017285136790532202,0.002356158511247486,7188.466780611681,7275.2228661152185,7188.960121289227,7275.7548577248235,,,777:0.075591623
fisher_greedy_fast,128,777,,,,,,,b0d24d671116,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 180, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 777}",100.0,0.09699930924922227,0.09079575708229096,0.10319782015960664,0.09299806877970695,0.04424973949790001,61.98562314987183,22321.37299862985,29056.0963636564,0.3540725008739779,0.4510771340574138,22322.166561954105,29056.904894141768,,,777:0.096999309
bald_2step_fast,128,777,,,,,,,c2caeb23b5b2,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""depth"": 2, ""future_max_actions"": 2, ""max_actions"": 3, ""n_actions"": 180, ""name"": ""bald_nstep"", ""predictive_samples"": 1, ""seed"": 777, ""top_k"": 2}",100.0,0.10597550388425589,0.09858329062815756,0.11369881092105061,0.1016511619091034,0.052741577848792076,53.83580783843994,13269.788986802358,21833.282919015906,0.3956736311536385,0.5304173589684069,13270.75981621055,21834.281092579477,,,777:0.1059755
symqnet,128,777,777,runs/scaling/n12/symqnet_seed_777/best_agent.pt,92bbda74dbed,heldout_validation_mse,0.07845183089375496,runs/scaling/n12/validation_task_bank.npz,fbc774d287c5,cpu,cpu:x86_64,141621.26075989509,info_gain,,runs/scaling/n12/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",100.0,0.08128590438514947,0.07825389044452459,0.0845804712753743,0.08010761067271233,0.021271824836730957,9.821030178070068,2.094790622165116,2.422083197743632,1050.865156247746,7124.221124492469,1053.4798023830322,7126.95677505224,,,777:0.081285904
symqnet,128,777,778,runs/scaling/n12/symqnet_seed_778/best_agent.pt,28dc1f7dd189,heldout_validation_mse,0.08103024400770664,runs/scaling/n12/validation_task_bank.npz,fbc774d287c5,cpu,cpu:x86_64,140560.2430865881,info_gain,,runs/scaling/n12/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",100.0,0.08014270715415478,0.07679996383097024,0.08372377131413669,0.07963412255048752,0.020463962107896805,7.36183801651001,2.0706693020959697,2.338776285178028,1003.2366790839134,7124.264968441566,1005.8180311139182,7126.940267266473,,,777:0.080142707
symqnet,128,777,779,runs/scaling/n12/symqnet_seed_779/best_agent.pt,349936a47ca5,heldout_validation_mse,0.07676065154373646,runs/scaling/n12/validation_task_bank.npz,fbc774d287c5,cpu,cpu:x86_64,135869.18159201206,info_gain,,runs/scaling/n12/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",100.0,0.08023064341396094,0.07732420886214823,0.08337819545529783,0.08081725239753723,0.018061216920614243,10.109870185852051,2.093027798368388,2.3566206579562277,987.1754106845605,7149.599692184711,989.7874144555276,7152.273465434555,,,777:0.080230643
dad_transformer,128,777,777,runs/scaling/n12/dad_transformer_seed_777/best_agent.pt,36661175841a,heldout_validation_mse,0.08395590167492628,runs/scaling/n12/validation_task_bank.npz,185a48ce77a8,cpu,cpu:x86_64,145931.38975787698,info_gain,,runs/scaling/n12/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""none"", ""graph"": ""none"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": false, ""use_vae"": false}",100.0,0.08030514415353536,0.07716533793322743,0.08357887414470315,0.08065750449895859,0.01855430379509926,1.3923906517028808,0.8087650886995512,0.8647611492779106,303.1758994497229,1210.349432018702,304.3851293255446,1211.6500032454496,,,777:0.080305144
dad_transformer,128,777,778,runs/scaling/n12/dad_transformer_seed_778/best_agent.pt,60409d527eb6,heldout_validation_mse,0.0845660399645567,runs/scaling/n12/validation_task_bank.npz,185a48ce77a8,cpu,cpu:x86_64,138871.32890917605,info_gain,,runs/scaling/n12/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""none"", ""graph"": ""none"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": false, ""use_vae"": false}",100.0,0.08221153158694505,0.07879173989780247,0.08600471940916032,0.08155751973390579,0.021954387426376343,10.827902145385742,0.8999401843822044,1.1590038880240172,1229.1011112875356,7821.921763216378,1230.436211690604,7823.351406925358,,,777:0.082211532
dad_transformer,128,777,779,runs/scaling/n12/dad_transformer_seed_779/best_agent.pt,69995a7b68d2,heldout_validation_mse,0.07779443450272083,runs/scaling/n12/validation_task_bank.npz,185a48ce77a8,cpu,cpu:x86_64,141555.79818495084,info_gain,,runs/scaling/n12/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""none"", ""graph"": ""none"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": false, ""use_vae"": false}",100.0,0.09581694468855857,0.09101477122586221,0.1009721402823925,0.09660995006561279,0.028151020407676697,28.52540843963623,1.2172832929839688,1.4795419690199196,4458.158270690408,11049.1982553876,4459.9436770916345,11051.227293891716,,,777:0.095816945
