method,shots,episode_idx,seed,final_mse,total_info_gain,decision_ms_mean,decision_ms_p95
random,16,0,777,0.11135353147983551,0.03276348114013672,0.07242725041578524,0.21385815271059974
fixed,16,0,777,0.12545505166053772,0.19868183135986328,0.0017397505871485919,0.0024848974135238677
