method,shots,episode_idx,seed,final_mse,total_info_gain,decision_ms_mean,decision_ms_p95
random,16,0,777,0.11135353147983551,0.03276348114013672,0.14717700105393305,0.48130180803127565
fixed,16,0,777,0.12545505166053772,0.19868183135986328,0.0016980011423584074,0.002691952977329492
