method,shots,episode_idx,seed,final_mse,total_info_gain,decision_ms_mean,decision_ms_p95,crlb_theta_mse,mse_crlb_ratio,actions,true_theta
random,16,0,777,0.11135353147983551,0.03276348114013672,0.1455724959669169,0.4664374035201034,27.86258544921875,0.0039965254366930185,16 10 6 6,1.4269971 1.226989 1.2684963 0.76920509 1.1440293
fixed,16,0,777,0.12545505166053772,0.19868183135986328,0.0011247502698097378,0.001681149296928197,41.25336608886719,0.0030410864265060194,0 6 12 2,1.4269971 1.226989 1.2684963 0.76920509 1.1440293
