method,shots,horizon,shot_time_us,decision_ms_mean,smc_update_ms_mean,quantum_ms_per_step,classical_ms_per_step,total_episode_time_ms
random,128,36,100.0,0.01984033613957258,3673.462996106634,12.8,3673.4828364427735,132706.18211193982
random,128,36,1000.0,0.01984033613957258,3673.462996106634,128.0,3673.4828364427735,136853.38211193983
random,128,36,10000.0,0.01984033613957258,3673.462996106634,1280.0,3673.4828364427735,178325.38211193986
fixed,128,36,100.0,0.0016900057542241287,3648.8390120978065,12.8,3648.840702103561,131819.06527572818
fixed,128,36,1000.0,0.0016900057542241287,3648.8390120978065,128.0,3648.840702103561,135966.2652757282
fixed,128,36,10000.0,0.0016900057542241287,3648.8390120978065,1280.0,3648.840702103561,177438.2652757282
fixed_optimized,128,36,100.0,4.110714657937124,3612.5779841588037,12.8,3616.6886988167407,130661.59315740268
fixed_optimized,128,36,1000.0,4.110714657937124,3612.5779841588037,128.0,3616.6886988167407,134808.79315740266
fixed_optimized,128,36,10000.0,4.110714657937124,3612.5779841588037,1280.0,3616.6886988167407,176280.79315740266
fisher_greedy_fast,128,36,100.0,11405.11799747271,0.42974152408229804,12.8,11405.547738996791,411060.51860388444
fisher_greedy_fast,128,36,1000.0,11405.11799747271,0.42974152408229804,128.0,11405.547738996791,415207.71860388445
fisher_greedy_fast,128,36,10000.0,11405.11799747271,0.42974152408229804,1280.0,11405.547738996791,456679.71860388445
bald_2step_fast,128,36,100.0,7120.987520611736,0.3362728735858884,12.8,7121.323793485321,256828.45656547157
bald_2step_fast,128,36,1000.0,7120.987520611736,0.3362728735858884,128.0,7121.323793485321,260975.65656547158
bald_2step_fast,128,36,10000.0,7120.987520611736,0.3362728735858884,1280.0,7121.323793485321,302447.6565654716
symqnet,128,36,100.0,1.8223710001782618,513.8284054442516,12.8,515.6507764444299,19024.227951999477
symqnet,128,36,1000.0,1.8223710001782618,513.8284054442516,128.0,515.6507764444299,23171.427951999474
symqnet,128,36,10000.0,1.8223710001782618,513.8284054442516,1280.0,515.6507764444299,64643.42795199948
symqnet,128,36,100.0,1.7858090438595453,696.5244386962148,12.8,698.3102477400744,25599.968918642677
symqnet,128,36,1000.0,1.7858090438595453,696.5244386962148,128.0,698.3102477400744,29747.168918642677
symqnet,128,36,10000.0,1.7858090438595453,696.5244386962148,1280.0,698.3102477400744,71219.16891864268
symqnet,128,36,100.0,1.9432910081620016,1024.2543561838102,12.8,1026.1976471919722,37403.915298911
symqnet,128,36,1000.0,1.9432910081620016,1024.2543561838102,128.0,1026.1976471919722,41551.115298911
symqnet,128,36,10000.0,1.9432910081620016,1024.2543561838102,1280.0,1026.1976471919722,83023.11529891101
dad_transformer,128,36,100.0,0.8143550632262808,579.6973304508072,12.8,580.5116855140334,21359.220678505204
dad_transformer,128,36,1000.0,0.8143550632262808,579.6973304508072,128.0,580.5116855140334,25506.4206785052
dad_transformer,128,36,10000.0,0.8143550632262808,579.6973304508072,1280.0,580.5116855140334,66978.42067850521
dad_transformer,128,36,100.0,0.8007743465067405,355.8112512350392,12.8,356.61202558154594,13298.832920935654
dad_transformer,128,36,1000.0,0.8007743465067405,355.8112512350392,128.0,356.61202558154594,17446.032920935653
dad_transformer,128,36,10000.0,0.8007743465067405,355.8112512350392,1280.0,356.61202558154594,58918.03292093566
dad_transformer,128,36,100.0,0.8104986456196961,659.9375031171237,12.8,660.7480017627433,24247.728063458762
dad_transformer,128,36,1000.0,0.8104986456196961,659.9375031171237,128.0,660.7480017627433,28394.92806345876
dad_transformer,128,36,10000.0,0.8104986456196961,659.9375031171237,1280.0,660.7480017627433,69866.92806345876
